,dataset,model,method,score
0,triviaqa,llama,MonteCarloSequenceEntropy,0.4647473588634871
1,triviaqa,llama,MonteCarloNormalizedSequenceEntropy,0.48413814252800286
2,triviaqa,llama,SemanticEntropy,0.528201736337828
3,triviaqa,llama,DegMat_NLI_score_entail,0.6062562607884123
4,triviaqa,llama,EigValLaplacian_NLI_score_entail,0.5873531991498262
5,triviaqa,llama,SAR_t0.001,0.5782729578446698
6,triviaqa,llama,PTrueBestSample,-0.07065214483429332
7,triviaqa,llama,BestAveDissimilarity,0.5996032745578678
8,triviaqa,llama,BestSampledMaximumSequenceProbability,0.513832243517841
9,triviaqa,llama,BestSemanticEnrichedMaxprobAveDissimilarity,0.5870628904410763
10,triviaqa,llama,BestSampledPerplexity,0.4829483266075597
11,triviaqa,llama,BestSemanticEnrichedPPLAveDissimilarity,0.5725501708391593
12,triviaqa,llama,BestSampledMeanTokenEntropy,0.45795790569631234
13,triviaqa,llama,BestSemanticEnrichedMTEAveDissimilarity,0.5823217619968074
14,coqa,llama,MonteCarloSequenceEntropy,0.2588926734331064
15,coqa,llama,MonteCarloNormalizedSequenceEntropy,0.23947917572120078
16,coqa,llama,SemanticEntropy,0.2862552650898808
17,coqa,llama,DegMat_NLI_score_entail,0.3667002527821291
18,coqa,llama,EigValLaplacian_NLI_score_entail,0.3399182804834475
19,coqa,llama,SAR_t0.001,0.3270815357195964
20,coqa,llama,PTrueBestSample,-0.010680678096569451
21,coqa,llama,BestAveDissimilarity,0.3950482195923744
22,coqa,llama,BestSampledMaximumSequenceProbability,0.30393388063042337
23,coqa,llama,BestSemanticEnrichedMaxprobAveDissimilarity,0.3841459092449807
24,coqa,llama,BestSampledPerplexity,0.2937474920895782
25,coqa,llama,BestSemanticEnrichedPPLAveDissimilarity,0.36414794001405526
26,coqa,llama,BestSampledMeanTokenEntropy,0.23921531921057446
27,coqa,llama,BestSemanticEnrichedMTEAveDissimilarity,0.3457936123302663
28,mmlu,llama,MonteCarloSequenceEntropy,0.15764980341062235
29,mmlu,llama,MonteCarloNormalizedSequenceEntropy,0.1648168775265543
30,mmlu,llama,SemanticEntropy,0.21326874822071357
31,mmlu,llama,DegMat_NLI_score_entail,0.3197518046304659
32,mmlu,llama,EigValLaplacian_NLI_score_entail,0.2737787025968442
33,mmlu,llama,SAR_t0.001,0.34049014133317484
34,mmlu,llama,PTrueBestSample,-0.11972863493820184
35,mmlu,llama,BestAveDissimilarity,0.35272350438656364
36,mmlu,llama,BestSampledMaximumSequenceProbability,0.4827308344049699
37,mmlu,llama,BestSemanticEnrichedMaxprobAveDissimilarity,0.45222637050155684
38,mmlu,llama,BestSampledPerplexity,0.44059900154111536
39,mmlu,llama,BestSemanticEnrichedPPLAveDissimilarity,0.42224810634884424
40,mmlu,llama,BestSampledMeanTokenEntropy,0.325556330120971
41,mmlu,llama,BestSemanticEnrichedMTEAveDissimilarity,0.36270508800506723
42,gsm8k,llama,MonteCarloSequenceEntropy,0.5463218829233287
43,gsm8k,llama,MonteCarloNormalizedSequenceEntropy,0.6335493671936843
44,gsm8k,llama,SemanticEntropy,0.5589682221045857
45,gsm8k,llama,DegMat_NLI_score_entail,0.3966394036687729
46,gsm8k,llama,EigValLaplacian_NLI_score_entail,0.351333175281222
47,gsm8k,llama,SAR_t0.001,0.6683523181272095
48,gsm8k,llama,PTrueBestSample,-0.0836928672346066
49,gsm8k,llama,BestAveDissimilarity,0.7948696972636388
50,gsm8k,llama,BestSampledMaximumSequenceProbability,0.28087918067172546
51,gsm8k,llama,BestSemanticEnrichedMaxprobAveDissimilarity,0.5133089630159421
52,gsm8k,llama,BestSampledPerplexity,0.9115469987045256
53,gsm8k,llama,BestSemanticEnrichedPPLAveDissimilarity,0.9250896679690304
54,gsm8k,llama,BestSampledMeanTokenEntropy,0.8843708476153136
55,gsm8k,llama,BestSemanticEnrichedMTEAveDissimilarity,0.9004191516657531
