,dataset,model,method,score
0,triviaqa,llama,MonteCarloSequenceEntropy,0.4444499867088507
1,triviaqa,llama,MonteCarloNormalizedSequenceEntropy,0.4697801830353402
2,triviaqa,llama,SemanticEntropy,0.5142451503201515
3,triviaqa,llama,DegMat_NLI_score_entail,0.6113149647217219
4,triviaqa,llama,EigValLaplacian_NLI_score_entail,0.5916401626286703
5,triviaqa,llama,SAR_t0.001,0.5781824213481472
6,triviaqa,llama,PTrueMbrSample,-0.05395467102603364
7,triviaqa,llama,MbrAveDissimilarity,0.6026496587775079
8,triviaqa,llama,MbrSampledMaximumSequenceProbability,0.2471675471133647
9,triviaqa,llama,MbrSemanticEnrichedMaxprobAveDissimilarity,0.4870745389363855
10,triviaqa,llama,MbrSampledPerplexity,0.2532385957994579
11,triviaqa,llama,MbrSemanticEnrichedPPLAveDissimilarity,0.496430331544877
12,triviaqa,llama,MbrSampledMeanTokenEntropy,0.46596786031197057
13,triviaqa,llama,MbrSemanticEnrichedMTEAveDissimilarity,0.5873386548930154
14,coqa,llama,MonteCarloSequenceEntropy,0.2204365355494023
15,coqa,llama,MonteCarloNormalizedSequenceEntropy,0.24721529677245926
16,coqa,llama,SemanticEntropy,0.24506581219538937
17,coqa,llama,DegMat_NLI_score_entail,0.3679566195909837
18,coqa,llama,EigValLaplacian_NLI_score_entail,0.34670299761630025
19,coqa,llama,SAR_t0.001,0.34474170606814714
20,coqa,llama,PTrueMbrSample,-0.013779517144520761
21,coqa,llama,MbrAveDissimilarity,0.38719019244429215
22,coqa,llama,MbrSampledMaximumSequenceProbability,0.16110061805596265
23,coqa,llama,MbrSemanticEnrichedMaxprobAveDissimilarity,0.3040389417052209
24,coqa,llama,MbrSampledPerplexity,0.1612947385754918
25,coqa,llama,MbrSemanticEnrichedPPLAveDissimilarity,0.31990154054902464
26,coqa,llama,MbrSampledMeanTokenEntropy,0.2451083422547827
27,coqa,llama,MbrSemanticEnrichedMTEAveDissimilarity,0.3453285945193507
28,mmlu,llama,MonteCarloSequenceEntropy,0.296011522032747
29,mmlu,llama,MonteCarloNormalizedSequenceEntropy,0.30467254721436116
30,mmlu,llama,SemanticEntropy,0.36051482034238663
31,mmlu,llama,DegMat_NLI_score_entail,0.3905754728925877
32,mmlu,llama,EigValLaplacian_NLI_score_entail,0.30408124825491706
33,mmlu,llama,SAR_t0.001,0.47088065130961393
34,mmlu,llama,PTrueMbrSample,-0.21017676497707152
35,mmlu,llama,MbrAveDissimilarity,0.42751317948531076
36,mmlu,llama,MbrSampledMaximumSequenceProbability,0.5774106723387833
37,mmlu,llama,MbrSemanticEnrichedMaxprobAveDissimilarity,0.5861805996612939
38,mmlu,llama,MbrSampledPerplexity,0.5493292778585602
39,mmlu,llama,MbrSemanticEnrichedPPLAveDissimilarity,0.5624182971194577
40,mmlu,llama,MbrSampledMeanTokenEntropy,0.45870996545844395
41,mmlu,llama,MbrSemanticEnrichedMTEAveDissimilarity,0.4709762933107251
42,gsm8k,llama,MonteCarloSequenceEntropy,0.646597922747728
43,gsm8k,llama,MonteCarloNormalizedSequenceEntropy,0.5450027701120596
44,gsm8k,llama,SemanticEntropy,0.6503005183440163
45,gsm8k,llama,DegMat_NLI_score_entail,0.5394537064343102
46,gsm8k,llama,EigValLaplacian_NLI_score_entail,0.4916566830666061
47,gsm8k,llama,SAR_t0.001,0.6418496556865712
48,gsm8k,llama,PTrueMbrSample,0.0834767601113024
49,gsm8k,llama,MbrAveDissimilarity,0.598717956674255
50,gsm8k,llama,MbrSampledMaximumSequenceProbability,0.6750894212201908
51,gsm8k,llama,MbrSemanticEnrichedMaxprobAveDissimilarity,0.7313912250109524
52,gsm8k,llama,MbrSampledPerplexity,0.6681171332419185
53,gsm8k,llama,MbrSemanticEnrichedPPLAveDissimilarity,0.7513872592368168
54,gsm8k,llama,MbrSampledMeanTokenEntropy,0.6985032190708554
55,gsm8k,llama,MbrSemanticEnrichedMTEAveDissimilarity,0.7647466621784369
56,xsum,llama,MonteCarloSequenceEntropy,0.08864566049014816
57,xsum,llama,MonteCarloNormalizedSequenceEntropy,0.05453858532199878
58,xsum,llama,SemanticEntropy,0.08921548016906698
59,xsum,llama,DegMat_NLI_score_entail,0.2171623261092664
60,xsum,llama,EigValLaplacian_NLI_score_entail,0.21664343420189155
61,xsum,llama,SAR_t0.001,0.1250753980283927
62,xsum,llama,PTrueMbrSample,-0.014107558518057036
63,xsum,llama,MbrAveDissimilarity,0.14618806819559674
64,xsum,llama,MbrSampledMaximumSequenceProbability,0.1966632170147248
65,xsum,llama,MbrSemanticEnrichedMaxprobAveDissimilarity,0.22534167617174944
66,xsum,llama,MbrSampledPerplexity,0.16812031067910024
67,xsum,llama,MbrSemanticEnrichedPPLAveDissimilarity,0.198451181551901
68,xsum,llama,MbrSampledMeanTokenEntropy,0.1301394042867838
69,xsum,llama,MbrSemanticEnrichedMTEAveDissimilarity,0.18928830613317396
70,wmt14_fren,llama,MonteCarloSequenceEntropy,0.24031673053110003
71,wmt14_fren,llama,MonteCarloNormalizedSequenceEntropy,0.33446394682908254
72,wmt14_fren,llama,SemanticEntropy,0.24963612115670378
73,wmt14_fren,llama,DegMat_NLI_score_entail,0.21823352261778098
74,wmt14_fren,llama,EigValLaplacian_NLI_score_entail,0.16746792147064002
75,wmt14_fren,llama,SAR_t0.001,0.39262954636201414
76,wmt14_fren,llama,PTrueMbrSample,0.09790235499647139
77,wmt14_fren,llama,MbrAveDissimilarity,0.28960681480986183
78,wmt14_fren,llama,MbrSampledMaximumSequenceProbability,0.34421514373278256
79,wmt14_fren,llama,MbrSemanticEnrichedMaxprobAveDissimilarity,0.40284611750002247
80,wmt14_fren,llama,MbrSampledPerplexity,0.38226614033250317
81,wmt14_fren,llama,MbrSemanticEnrichedPPLAveDissimilarity,0.42806139495070433
82,wmt14_fren,llama,MbrSampledMeanTokenEntropy,0.41233161489043607
83,wmt14_fren,llama,MbrSemanticEnrichedMTEAveDissimilarity,0.3983810335399474
