,dataset,model,method,score
0,triviaqa,llama,MonteCarloSequenceEntropy,0.48195535654984584
1,triviaqa,llama,MonteCarloNormalizedSequenceEntropy,0.5014895286326685
2,triviaqa,llama,SemanticEntropy,0.5493088254897728
3,triviaqa,llama,DegMat_NLI_score_entail,0.6218207860765663
4,triviaqa,llama,EigValLaplacian_NLI_score_entail,0.6037391823442867
5,triviaqa,llama,SAR_t0.001,0.5946681245219463
6,triviaqa,llama,PTrue,-0.06599331617548643
7,triviaqa,llama,GreedyAveDissimilarity,0.6135437643105495
8,triviaqa,llama,SupervisedCocoa,0.5519342721378249
9,triviaqa,llama,MaximumSequenceProbability,0.5257089867503223
10,triviaqa,llama,GreedySemanticEnrichedMaxprobAveDissimilarity,0.59742969236524
11,triviaqa,llama,SupervisedCocoaMSP,0.5982491317576261
12,triviaqa,llama,Perplexity,0.5065359890452021
13,triviaqa,llama,GreedySemanticEnrichedPPLAveDissimilarity,0.5927544619145031
14,triviaqa,llama,SupervisedCocoaPPL,0.5970476731181315
15,triviaqa,llama,MeanTokenEntropy,0.49718985546181055
16,triviaqa,llama,GreedySemanticEnrichedMTEAveDissimilarity,0.6012835748689974
17,triviaqa,llama,SupervisedCocoaMTE,0.5987955634103815
18,coqa,llama,MonteCarloSequenceEntropy,0.23706511929179555
19,coqa,llama,MonteCarloNormalizedSequenceEntropy,0.21875097917433295
20,coqa,llama,SemanticEntropy,0.2717302378814791
21,coqa,llama,DegMat_NLI_score_entail,0.35344625195384755
22,coqa,llama,EigValLaplacian_NLI_score_entail,0.33185817614027247
23,coqa,llama,SAR_t0.001,0.3108469652724891
24,coqa,llama,PTrue,-0.03727366139912935
25,coqa,llama,GreedyAveDissimilarity,0.37461363331167646
26,coqa,llama,SupervisedCocoa,0.35301386335901985
27,coqa,llama,MaximumSequenceProbability,0.27706543289200936
28,coqa,llama,GreedySemanticEnrichedMaxprobAveDissimilarity,0.3486610398029918
29,coqa,llama,SupervisedCocoaMSP,0.3400174927475239
30,coqa,llama,Perplexity,0.2527784314095525
31,coqa,llama,GreedySemanticEnrichedPPLAveDissimilarity,0.3379539141567589
32,coqa,llama,SupervisedCocoaPPL,0.31903314707828734
33,coqa,llama,MeanTokenEntropy,0.23907886323168787
34,coqa,llama,GreedySemanticEnrichedMTEAveDissimilarity,0.33717525610335636
35,coqa,llama,SupervisedCocoaMTE,0.3156587248213392
36,mmlu,llama,MonteCarloSequenceEntropy,0.17120608858447992
37,mmlu,llama,MonteCarloNormalizedSequenceEntropy,0.16951082927391026
38,mmlu,llama,SemanticEntropy,0.22851224824461377
39,mmlu,llama,DegMat_NLI_score_entail,0.3416658531821967
40,mmlu,llama,EigValLaplacian_NLI_score_entail,0.29174574247580626
41,mmlu,llama,SAR_t0.001,0.3515671838046941
42,mmlu,llama,PTrue,-0.18031827185791252
43,mmlu,llama,GreedyAveDissimilarity,0.3913729563730626
44,mmlu,llama,SupervisedCocoa,0.27870018094270727
45,mmlu,llama,MaximumSequenceProbability,0.5076770592112513
46,mmlu,llama,GreedySemanticEnrichedMaxprobAveDissimilarity,0.484665260535851
47,mmlu,llama,SupervisedCocoaMSP,0.5044103127448492
48,mmlu,llama,Perplexity,0.46131972525329246
49,mmlu,llama,GreedySemanticEnrichedPPLAveDissimilarity,0.45207800647247853
50,mmlu,llama,SupervisedCocoaPPL,0.4672819270846098
51,mmlu,llama,MeanTokenEntropy,0.3493769075010443
52,mmlu,llama,GreedySemanticEnrichedMTEAveDissimilarity,0.4013082733168605
53,mmlu,llama,SupervisedCocoaMTE,0.3871861298722883
54,gsm8k,llama,MonteCarloSequenceEntropy,0.3511727186143658
55,gsm8k,llama,MonteCarloNormalizedSequenceEntropy,0.3443614613578972
56,gsm8k,llama,SemanticEntropy,0.3748385574865923
57,gsm8k,llama,DegMat_NLI_score_entail,0.30870213461791335
58,gsm8k,llama,EigValLaplacian_NLI_score_entail,0.273221728061536
59,gsm8k,llama,SAR_t0.001,0.39799893206702963
60,gsm8k,llama,PTrue,0.025651158404541297
61,gsm8k,llama,GreedyAveDissimilarity,0.36777246095718863
62,gsm8k,llama,SupervisedCocoa,0.3781894979546617
63,gsm8k,llama,MaximumSequenceProbability,0.32438775939605236
